Language	Word_ID	Gloss	New CognateID	IPA	Notes	Source Notes
Istro-Romanian	IstroRomanian_SMALL_2	SMALL	-2	mik	Originally marked in source as not a borrowing.	In Šušnjevica dialect, there is also a Croatism: mˈiȶi {míći} 'small' [Kovačec 2010].
Megleno-Romanian	MeglenoRomanian_SMALL_2	SMALL	-2	mik	Originally marked in source as not a borrowing.	"In his dictionary Capidan also mentions miˈnut {minút} 'small' [Capidan 1935: 191], but mik is much more frequently used in texts; furthermore, it is mik that is opposed to the word 'big' in the riddle {Mic sam, mari sam, toată lumea u ạnves} ""I am small, I am big, I clothed all the world"" [Capidan 1928: 152]."
Romanian	Romanian_SMALL_2	SMALL	-2	mik	Originally marked in source as not a borrowing.	1985: 611; Gancz 2015. Goes back to the Vulgar Latin {*miccus}, which can be related with {mica} 'crumb', or be borrowed from Greek {μικρός} (Doric {μικκός}) 'small' or be of expressive origin [Ciorănescu 2015]. Moldavian: mik {mic} 'small' [Podiko 1973: 369; Borsh & Zaporozhan 1990: 191].
Aromanian	Aromanian_STAND_-1	STAND	-7	ʃˈedŭmprˈostu		The second part of this construction is borrowed from some Slavic source, while the first one means 'to sit'.
Catalan (Castelló de la Plana)	CastellódelaPlanaCatalan_STAR_-1	STAR	-1	estɾˈeʎa		Borrowed from Spanish {estrella} 'star'.
Catalan (Central)	CentralCatalan_STAR_-1	STAR	-1	əstɾˈeʎə		There are two terms for 'star' in Central Catalan: əstɾˈeʎ-ə {estrella} and əstˈɛɫ {estel}. The second one is inherited, while the first one is borrowed from Spanish {estrella} 'star'. The first one is more frequent, but due to puristic tendencies, the second one is currently gaining in frequency [Alòs i Font 2015].
Catalan (Manises)	ManisesCatalan_STAR_-1	STAR	-1	estɾˈɛɫa		Borrowed from Spanish {estrella} 'star'.
Catalan (Minorcan)	MinorcanCatalan_STAR_-1	STAR	-1	əstɾˈeʎə		Borrowed from Spanish {estrella} 'star'.
Catalan (Northwestern)	North-WesternCatalan_STAR_-1	STAR	-1	estɾˈeʎɛ		Borrowed from Spanish {estrella} 'star'.
Catalan (Northwestern)	North-WesternCatalan_STAR_-1	STAR	-1	stɾˈeʎɛ		Borrowed from Spanish {estrella} 'star'.
Catalan (Valencia)	ValenciaCatalan_STAR_-1	STAR	-1	astɾˈeɫa		Borrowed from Spanish {estrella} 'star'.
Aromanian	Aromanian_STONE_-1	STONE	-6	cˈe̯atrə		A common Romance borrowing from Greek {πέτρα} 'stone'. Distinct from bərcˈir-e {bărţíre} 'big stone, rock' [Papahagi 1963: 201; Cunia 2010: 191; Dalametra 1906: 40].
Asturian	Asturian_STONE_-1	STONE	-6	pˈjedɾa		Langreo: pˈyedɾ-a {piedra} 'stone' [González Rato 2016].
Catalan (Castelló de la Plana)	CastellódelaPlanaCatalan_STONE_-1	STONE	-6	pˈeðɾa		A common Romance borrowing from Greek {πέτρα} ˈstoneˈ.
Catalan (Central)	CentralCatalan_STONE_-1	STONE	-6	pˈeðɾə		A common Romance borrowing from Greek {πέτρα} ˈstoneˈ. There are two expressions for ˈstoneˈ in Central Catalan: pˈeðɾ-ə {pedra} and rɔk {roc}. According to [Alòs i Font 2015] there is no difference between them, although there is a tendency to use the second word in the meaning ˈrock / big stoneˈ (under the influence of Spanish {roca} ˈrock / big stoneˈ).
Catalan (Manises)	ManisesCatalan_STONE_-1	STONE	-6	pˈeðɾa		A common Romance borrowing from Greek {πέτρα} ˈstoneˈ.
Catalan (Minorcan)	MinorcanCatalan_STONE_-1	STONE	-6	pˈeðɾə		A common Romance borrowing from Greek {πέτρα} ˈstoneˈ.
Catalan (Northwestern)	North-WesternCatalan_STONE_-1	STONE	-6	pˈeðɾɛ		
Catalan (Valencia)	ValenciaCatalan_STONE_-1	STONE	-6	pˈeðɾa		A common Romance borrowing from Greek {πέτρα} ˈstoneˈ.
Dalmatian	Dalmatian_STONE_-1	STONE	-6	pˈitra		"Some examples are: {ju ja avùt táma de tróki, de ku͡ọlke pítra ke-i me butúa} ""I was afraid of the lads who threw a few stones at me"" [Bartoli 2002: 225]; {ju kavúa le pítre} ""I dig up stones"" [Bartoli 2002: 240]. A common Romance borrowing from Greek {πέτρα} 'stone'."
Emiliano (Ferrarese)	FerrareseEmiliano_STONE_-1	STONE	-6	prˈɛda		A common Romance borrowing from Greek {πέτρα} 'stone'.
Emiliano (Reggiano)	ReggianoEmiliano_STONE_-1	STONE	-6	prˈeːda		A common Romance borrowing from Greek {πέτρα} 'stone'.
Franco-Provençal	SavoyardFranco-Provençal_STONE_-1	STONE	-6	pˈjɛro		
French	StandardFrench_STONE_-1	STONE	-6	pjɛʁ		A common Romance borrowing from Greek {πέτρα} 'stone'.
Friulian	Friulian_STONE_-1	STONE	-6	klap		A substrate borrowing. Distinct from pˈyɛr-e {piere} 'stone as material' [Decorte 2015; Pirona 1871: 690, 298-299].
Galician	Galician_STONE_-1	STONE	-6	pˈɛðɾa		A common Romance borrowing from Greek {πέτρα} 'stone'. 
Italian (Standard)	StandardItalian_STONE_-1	STONE	-6	pˈjɛtra		A common Romance borrowing from Greek {πέτρα} 'stone'. Distinct from sˈasː-o {sasso} 'rock, stone' [Passerini Tosi 1989: 1017-1018], rˈɔčː-a {roccia} 'rock' [Passerini Tosi 1989: 1000], mˈasː-o {masso} 'boulder, rock, stone' [Passerini Tosi 1989: 676] and from mačˈiɲː-o {macigno} 'rock, boulder, stone' [Passerini Tosi 1989: 651].
Ligurian (Genoese)	GenoeseLigurian_STONE_-1	STONE	-6	prˈiːa		A common Romance borrowing from Greek {πέτρα} 'stone'.
Ligurian (Rapallo)	RapalloLigurian_STONE_-1	STONE	-6	prˈia		A common Romance borrowing from Greek {πέτρα} 'stone'.
Ligurian (Stella)	StellaLigurian_STONE_-1	STONE	-6	prˈɛja		A common Romance borrowing from Greek {πέτρα} 'stone'.
Lombard (Bergamo)	BergamoLombard_STONE_-1	STONE	-6	prˈeda		A common Romance borrowing from Greek {πέτρα} 'stone'.
Neapolitan	Neapolitan_STONE_-1	STONE	-6	prˈɛtə		Grottaminarda: prˈet-ə {préta} 'stone' [Morelli 2015]. A common Romance borrowing from Greek {πέτρα} 'stone'.
Occitan	ProvençalOccitan_STONE_-1	STONE	-6	pˈɛjɾo		A common Romance borrowing from Greek {πέτρα} ˈstoneˈ.
Old French	OldFrench_STONE_-1	STONE	-6	pˈjerə		Designates precious stones as well. Distinct from čˈaʎ-o {chaillo} 'stone, pebble' [EDCT 2014: 170] and per-ˈõn {perron} 'block of stone, stone slab' [EDCT 2014: 836].
Old Italian	OldItalian_STONE_-1	STONE	-6	pˈjɛtra		"15]; {Luogo è in inferno detto Malebolge, // tutto di pietra di color ferrigno} ""There is a place in Hell called Malebolge, // wholly of stone and of an iron colour"" [Inf. 18]. Distinct from sˈasː-o {sasso} 'rock' ({Più che tu non speri // s'appressa un sasso che da la gran cerchia // si move e varca tutt' i vallon feri} ""Nearer than thou hopest // there is a rock, that forth from the great circle // proceeds, and crosses all the cruel valleys"" [Inf. 24]), which sometimes, however, can be used in the meaning 'stone' too: {E s'io non fossi impedito dal sasso // che la cervice mia superba doma} ""And were I not impeded by the stone, // which this proud neck of mine doth subjugate"" [Purg. 11]. The term lˈapid-e {lapide} is not attested."
Picard	Picard_STONE_-1	STONE	-6	pjɛʁ		A common Romance borrowing from Greek {πέτρα} 'stone'.
Piemontese (Barbania)	BarbaniaPiemontese_STONE_-1	STONE	-6	pˈɛra		A common Romance borrowing from Greek {πέτρα} 'stone'. Distinct from ruk {roch} 'rock' [Fiandro 2015].
Piemontese (Carmagnola)	CarmagnolaPiemontese_STONE_-1	STONE	-6	pˈera		A common Romance borrowing from Greek {πέτρα} 'stone'.
Piemontese (Lanzo Torinese)	LanzoTorinesePiemontese_STONE_-1	STONE	-6	pˈɛra		A common Romance borrowing from Greek {πέτρα} 'stone'.
Piemontese (Turinese)	TurinesePiemontese_STONE_-1	STONE	-6	pˈɛra		A common Romance borrowing from Greek {πέτρα} 'stone'.
Piemontese (Vercellese)	VercellesePiemontese_STONE_-1	STONE	-6	prˈɛja		A common Romance borrowing from Greek {πέτρα} 'stone'.
Portuguese	StandardPortuguese_STONE_-1	STONE	-6	pˈɛðɾɐ		1989: 219. A common Romance borrowing from Greek {πέτρα} 'stone'.
Romanian	Romanian_STONE_-1	STONE	-6	pˈjatrə		1985: 497-498; Gancz 2015. A common Romance borrowing from Greek {πέτρα} 'stone'. Moldavian: pˈyatr-ə {piatră} 'stone' [Podiko 1973: 300-301; Borsh & Zaporozhan 1990: 158].
Romansh (Grischun)	RumantschGrischun_STONE_-1	STONE	-7	krap		A substrate borrowing.
Romansh (Surmiran)	SurmiranRomansh_STONE_-1	STONE	-7	krap		A substrate borrowing.
Romansh (Sursilvan)	SursilvanRomansh_STONE_-1	STONE	-7	krap		A substrate borrowing.
Romansh (Vallader)	ValladerRomansh_STONE_-1	STONE	-7	krap		A substrate borrowing.
Sardinian (Campidanese)	Campidanese_STONE_-1	STONE	-6	pˈerda		A common Romance borrowing from Greek {πέτρα} 'stone'. Domus de Maria: pˈerd-a {perda} 'stone' [Fadda 2015].
Sardinian (Campidanese)	Campidanese_STONE_-1	STONE	-6	pˈedra		A common Romance borrowing from Greek {πέτρα} 'stone'. Domus de Maria: pˈerd-a {perda} 'stone' [Fadda 2015].
Sardinian (Logudorese)	Logudorese_STONE_-1	STONE	-6	pˈerda		A common Romance borrowing from Greek {πέτρα} 'stone'.
Sicilian (Catanian)	CatanianSicilian_STONE_-1	STONE	-6	pˈɛʈɽa		A common Romance borrowing from Greek {πέτρα} 'stone'.
Sicilian (Messinese)	MessineseSicilian_STONE_-1	STONE	-6	pˈɛʈɽa		A common Romance borrowing from Greek {πέτρα} 'stone'.
Sicilian (Palermitan)	PalermitanSicilian_STONE_-1	STONE	-6	pˈjɛʈɽa		A common Romance borrowing from Greek {πέτρα} 'stone'. Termini Imerese: pˈɛʈɽ-a {petra} 'stone' [La Bua 2015]. Buscemi: pˈɛc̢ɽ-a {petra} 'stone', tˈimp-a {timpa} 'stone' [Coccimiglio 2016].
Sicilian (Southeastern)	South-EasternSicilian_STONE_-1	STONE	-6	pˈɛʈɽa		A common Romance borrowing from Greek {πέτρα} 'stone'.
Spanish	CastilianSpanish_STONE_-1	STONE	-6	pˈjeðɾa		A common Romance borrowing from Greek {πέτρα} ˈstoneˈ.
Venetian (Bellunese)	BelluneseVenetian_STONE_-1	STONE	-6	pˈjɛra		A common Romance borrowing from Greek {πέτρα} ˈstoneˈ.
Venetian (Venice)	VeniceVenetian_STONE_-1	STONE	-6	pˈjɛra		Schio, Arzignano: prˈi-a {prìa} 'stone' [Clementi 2015]. A common Romance borrowing from Greek {πέτρα} ˈstoneˈ. Marostica: sˈas-o {sasso} 'stone' [Pezzin 2015].
Walloon	Walloon_STONE_-1	STONE	-6	piːʀ		Rifondou: piʀ {pire} 'stone', kayoː {cayô} 'stone'.
Istro-Romanian	IstroRomanian_SWIM_-1	SWIM	-3	plivˈi		Polysemy: 'to swim / to float'. Borrowed from some Slavic source.
Ladin (Gardenese)	GardeneseLadin_SWIM_-1	SWIM	-4	ʒbimənˈɛ		Borrowed from German {schwimmen} 'to swim'.
Megleno-Romanian	MeglenoRomanian_SWIM_-1	SWIM	-3	plivəjˈes		-əy- is an imperfective suffix. Borrowed from Macedonian {pliva} 'swim' or Bulgarian {plivam} 'swim'. 
Portuguese	StandardPortuguese_TAIL_-1	TAIL	-1	kˈawðɐ		"1989: 681. Borrowed from Latin {cauda} 'tail'. Although according to [Voinova et al. 1989: 681], the term ʁˈaβ--u {rabo} is used in the meaning 'tail' as well, Pimentel Ferreira mentions {rabo} in the meaning 'bottom' or as cat's/dog's tail in informal contexts. According to him the collocation {a cauda do gato} ""cat's tail"" is more preferable than {o rabo do gato} [Pimentel Ferreira 2016]."
Walloon	Walloon_TAIL_-1	TAIL	-1	køː		Borrowed from Standard French; has replaced the inherited term kaw {cawe}. Rifondou: kaw {cawe} 'tail'.
Piemontese (Turinese)	TurinesePiemontese_TREE_-1	TREE	-1	ˈarbra		Probably borrowed from Franco-Provençal {arbra} 'tree', due to the absence of development of /a/ into /e/ in the stressed closed syllable, see ˈeva {eva} 'water'. The inherited term thus would be ˈɛrb-u {erbo}, which means 'small plant, shrub'. Distinct from pˈyant-a {pianta} 'plant', from lˈeɲ-a {legna} 'wood' and from bɔsk {bòsch} 'forest wood' [Davico 2016].
Romanian	Romanian_TREE_-1	TREE	-5	kopˈak		1985: 299; Gancz 2015. Has no certain etymology, possibly derived from Slavic {kopati} [Ciorănescu 2015]. Distinct from ˈarbor-e {arbore} 'tree', which is used in scientific language, pom {pom} 'fruit tree' [Gancz, 2015] and lemn {lemn} 'wood' [DER 2004: 1045]. Moldavian: kopˈak {copac} 'tree' [Podiko 1973: 170; Borsh & Zaporozhan 1990: 92].
Sardinian (Campidanese)	Campidanese_TREE_-1	TREE	-6	mˈatːa		Of substrate origin [Narumov 2001: 184]. Distinct from lˈinː-a {linna} 'wood' [Pintus 2015]. Domus de Maria: mˈatː-a {matta} 'tree'. Distinct from lˈinː-a {linna} 'wood' [Fadda 2015].
Sicilian (Southeastern)	South-EasternSicilian_TREE_-1	TREE	-6	mˈaʧːa		Besides this form, Miccichè also mentions mˈakːy-a {makkia} 'tree' [Miccichè 2015]. Of substrate origin. Distinct from lˈiɲː-u {lignu} 'wood' [Leggio 2015].
Galician	Galician_WARM (OF WEATHER)_-1	WARM (OF WEATHER)	-1	kˈaliðo		Borrowed from Latin {calidus} 'warm / hot'. Distinct from kˈɛnt-e {quente} 'hot' [Montoya Bolaños 2015; Franco Grande 1968: 774; Fernández Armesto 1981: 150]. 
Sardinian (Logudorese)	Logudorese_WARM (OF WEATHER)_-1	WARM (OF WEATHER)	-1	kaʒˈente		Polysemy: 'warm' / 'hot'. Borrowed from Catalan {calent} 'warm, hot'.
Asturian	Asturian_WHITE_-1	WHITE	-2	blˈaŋko		Langreo: blˈaŋk-u {blancu} 'white' [González Rato 2016].
Catalan (Castelló de la Plana)	CastellódelaPlanaCatalan_WHITE_-1	WHITE	-2	bɫaŋk		An old borrowing from some Germanic source.
Catalan (Central)	CentralCatalan_WHITE_-1	WHITE	-2	bɫaŋ		An old borrowing from some Germanic source.
Catalan (Manises)	ManisesCatalan_WHITE_-1	WHITE	-2	bɫaŋk		An old borrowing from some Germanic source.
Catalan (Minorcan)	MinorcanCatalan_WHITE_-1	WHITE	-2	bɫaŋ		An old borrowing from some Germanic source.
Catalan (Northwestern)	North-WesternCatalan_WHITE_-1	WHITE	-2	bɫaŋ		An old borrowing from some Germanic source.
Catalan (Valencia)	ValenciaCatalan_WHITE_-1	WHITE	-2	bɫaŋk		An old borrowing from some Germanic source.
Dalmatian	Dalmatian_WHITE_-1	WHITE	-2	bjaŋk		
Dalmatian	Dalmatian_WHITE_-1	WHITE	-2	blaŋk		
Emiliano (Carpigiano)	CarpigianoEmiliano_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Emiliano (Ferrarese)	FerrareseEmiliano_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Emiliano (Reggiano)	ReggianoEmiliano_WHITE_-1	WHITE	-2	bjaːŋk		An old borrowing from some Germanic source.
Franco-Provençal	SavoyardFranco-Provençal_WHITE_-1	WHITE	-2	bʎã		
French	StandardFrench_WHITE_-1	WHITE	-2	blɑ̃		An old borrowing from some Germanic source.
Friulian	Friulian_WHITE_-1	WHITE	-2	blaŋk		An old borrowing from some Germanic source.
Galician	Galician_WHITE_-1	WHITE	-2	bɾˈaŋko		"An old borrowing from some Germanic source. Distinct from albˈeyɾ-o {albeiro} 'white', which is rather restricted in use: {fariña albeira} ""white flour"", {pan albeiro} ""white bread"", {un seixo albeiro} ""a white pebble"" [Montoya Bolaños 2016; DRAG 2016]. "
Italian (Foligno)	FolignoItalian_WHITE_-1	WHITE	-2	vˈjanku		An old borrowing from some Germanic source.
Italian (Grosseto)	GrossetoItalian_WHITE_-1	WHITE	-2	bˈjaŋko		An old borrowing from some Germanic source.
Italian (Standard)	StandardItalian_WHITE_-1	WHITE	-2	bˈjaŋko		An old borrowing from some Germanic source. Distinct from ˈalb-o {albo} 'white', used only in the literary language [Battaglia I: 291].
Ladin (Fassano)	FassanoLadin_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Ladin (Gardenese)	GardeneseLadin_WHITE_-1	WHITE	-2	blaŋk		An old borrowing from some Germanic source.
Ligurian (Genoese)	GenoeseLigurian_WHITE_-1	WHITE	-2	ʤˈaŋku		An old borrowing from some Germanic source.
Ligurian (Rapallo)	RapalloLigurian_WHITE_-1	WHITE	-2	ʤˈaːŋku		An old borrowing from some Germanic source.
Ligurian (Stella)	StellaLigurian_WHITE_-1	WHITE	-2	ʤˈaːŋku		An old borrowing from some Germanic source.
Lombard (Bergamo)	BergamoLombard_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Lombard (Plesio)	PlesioLombard_WHITE_-1	WHITE	-2	bjaːŋk		An old borrowing from some Germanic source.
Neapolitan	Neapolitan_WHITE_-1	WHITE	-2	jˈaŋkə		Borrowed from some Germanic source. Grottaminarda: ʎˈaŋk {glia'nc} 'white' [Morelli 2015].
Occitan	ProvençalOccitan_WHITE_-1	WHITE	-2	blaŋk		An old borrowing from some Germanic source.
Old French	OldFrench_WHITE_-1	WHITE	-2	blãŋk		
Old Italian	OldItalian_WHITE_-1	WHITE	-2	bˈjaŋko		"some examples: {come procede innanzi da l'ardore, // per lo papiro suso, un color bruno // che non è nero ancora e 'l bianco more} ""E'en as proceedeth on before the flame // Upward along the paper a brown colour, // Which is not black as yet, and the white dies"" [Inf. 25]; {L'una era d'oro e l'altra era d'argento; // pria con la bianca e poscia con la gialla} ""One was of gold, and the other was of silver; // first with the white, and after with the yellow"" [Purg. 9]; {mostrando un'oca bianca più che burro} ""display a goose more white than butter is"" [Inf. 17]. This term is first time attested in the form {bla(n)cho} in the ""Dichiarzaione di Paxia"" (1178-1182, Savona) [TdLJdO 2016].  _x0015_The term ˈalb-o {albo} 'white' is not attested in Dante's works. However we find it contrasted with {negro} 'black' in the Veronese Riddle (VIII-IX centuries): {Se pareba boves alba pratalia araba albo versorio teneba et negro semen seminaba}. Michel regards it as a Latinism [Michel 2011: 45], but this is not necessary. It occurs even after Dante, in the XIV-XVth centuries [TdLJdO 2016], but at the time it was no longer the basic term for 'white'."
Picard	Picard_WHITE_-1	WHITE	-2	blɑ̃		An old borrowing from some Germanic source.
Piemontese (Barbania)	BarbaniaPiemontese_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Piemontese (Carmagnola)	CarmagnolaPiemontese_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Piemontese (Lanzo Torinese)	LanzoTorinesePiemontese_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Piemontese (Turinese)	TurinesePiemontese_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Piemontese (Vercellese)	VercellesePiemontese_WHITE_-1	WHITE	-2	bjaːŋk		An old borrowing from some Germanic source.
Portuguese	StandardPortuguese_WHITE_-1	WHITE	-2	bɾˈɐ̃ŋku		1989: 35. An old borrowing from some Germanic source.
Romagnol	RavennateRomagnol_WHITE_-1	WHITE	-2	bjãnk		An old borrowing from some Germanic source. Marchigiano: byaŋk {bianc} 'white' [Pucci 2015].
Sardinian (Campidanese)	Campidanese_WHITE_-1	WHITE	-2	bjˈaŋku		An old borrowing from some Germanic source. Domus de Maria: byˈank-u {biancu} [Fadda 2015].
Sardinian (Logudorese)	Logudorese_WHITE_-1	WHITE	-2	bˈjaŋku		An old borrowing from some Germanic source.
Sicilian (Catanian)	CatanianSicilian_WHITE_-1	WHITE	-2	ˈjaŋku		An old borrowing from some Germanic source.
Sicilian (Messinese)	MessineseSicilian_WHITE_-1	WHITE	-2	ˈjaŋku		An old borrowing from some Germanic source.
Sicilian (Palermitan)	PalermitanSicilian_WHITE_-1	WHITE	-2	bˈjaŋku		Buscemi: ˈyaŋk-u {jancu} 'white' [Coccimiglio 2016]. An old borrowing from some Germanic source.
Sicilian (Southeastern)	South-EasternSicilian_WHITE_-1	WHITE	-2	brˈaŋku		Agrigento: bˈyaŋk-u {biancu} ~ ˈyaŋk-u {jancu} 'white' [Miccichè 2015]. An old borrowing from some Germanic source.
Sicilian (Southeastern)	South-EasternSicilian_WHITE_-1	WHITE	-2	ˈjaŋku		Agrigento: bˈyaŋk-u {biancu} ~ ˈyaŋk-u {jancu} 'white' [Miccichè 2015]. An old borrowing from some Germanic source.
Spanish	CastilianSpanish_WHITE_-1	WHITE	-2	blˈaŋko		An old borrowing from some Germanic source.
Venetian (Bellunese)	BelluneseVenetian_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Venetian (Primiero)	PrimieroVenetian_WHITE_-1	WHITE	-2	bjaŋk		An old borrowing from some Germanic source.
Venetian (Venice)	VeniceVenetian_WHITE_-1	WHITE	-2	bˈjaŋko		Tre 2015; Melon 2015; Busato 2015; Poletto 2015; Cortiana 2015; Ricchieri 2015; Clementi 2015; Serena 2015; Pezzin 2015; Zanetti 2015. An old borrowing from some Germanic source.
Walloon	Walloon_WHITE_-1	WHITE	-2	blã		Rifondou: blã {blanc} 'white'. An old borrowing from some Germanic source.
Istro-Romanian	IstroRomanian_WIND_-1	WIND	-4	bˈoræ		"Probably borrowed from Italian {bora} 'bora = strong, cold, dry wind'. Kovačec translates bˈor-ä as Croatian {bura} ('bora, north-eastern wind'), but some contexts allow us to suppose that this word is used in a broader sense: {Și čia av bora școdit} ""But the wind was damaging there, too"" (Žejane); {Tota zia bora} ""All day the wind (Jesenovik); {Și bora me bate} ""And the wind is beating me"" (Jesenovik); {Și scapåt-am lu bore} ""I escaped the wind"" (Jesenovik); {I'll ask the wind} ""Ântrebå vo bora"" (Jesenovik); {Și borele pușit-a} ""And the winds blew"" (Jesenovik); {Și cân s-a ploele cu bora} ""And when the rains and the wind"" (Jesenovik). In Žejane the inherited term vint {vint} 'wind' is preserved [Sârbu & Frăţilă 1998: 298; Byhan 1899: 381], but it is absent from Kovačec's dictionary and from texts."
Istro-Romanian	IstroRomanian_WOMAN_-1	WOMAN	-6	ʒˈenskæ		Borrowed from Slovene {ženska} 'woman' or Croatian {ženska} 'female, woman's' (a feminine form of adjective {ženski}). Distinct from muʎäre {muľę́re} 'wife' [Kovačec 2010; Byhan 1899: 283]. Byhan also mentions the word žˈeɲe {žéńe} 'married woman' [Byhan 1899: 389], Weigand adds the word gospä {gospę} [Weigand, 1899: 397], both forms are absent from Kovačec's dictionary and from texts.
Asturian	Asturian_WORM_-1	WORM	-7	meɾˈuko	Cognate with Portuguese {minhoca} according to etymology at https://en.wiktionary.org/wiki/minhoca	Langreo: gušˈaŋ {guxán} 'worm', meɾˈuk-u {merucu} 'worm' [González Rato 2016].
Portuguese	StandardPortuguese_WORM_-1	WORM	-7	miɲˈɔkɐ	Cognate with Asturian {meruca} according to etymology at https://en.wiktionary.org/wiki/minhoca	1989: 696.
Dalmatian	Dalmatian_YELLOW_-1	YELLOW	-2	ʒwˈolno		Probably a borrowing from Venetian.
Emiliano (Carpigiano)	CarpigianoEmiliano_YELLOW_-1	YELLOW	-2	zaːl		Borrowed from Old French {jalne}.
Emiliano (Ferrarese)	FerrareseEmiliano_YELLOW_-1	YELLOW	-2	ʒal		Borrowed from Old French {jalne}.
Emiliano (Reggiano)	ReggianoEmiliano_YELLOW_-1	YELLOW	-2	ʒaːl		Borrowed from Old French {jalne}.
Friulian	Friulian_YELLOW_-1	YELLOW	-2	ʤaːl		Borrowed from Italian {giallo} 'yellow' (< Old French {jalne} 'yellow').
Istro-Romanian	IstroRomanian_YELLOW_-1	YELLOW	-2	ʒut		Borrowed from Croatian {žut} 'yellow'. In Žejane the inherited term gˈɒbir {gåbir} 'yellow' is probably preserved [Sârbu & Frăţilă 1998: 187; Byhan 1899: 224]. This word is, however, absent from Kovačec's dictionary and from texts.
Italian (Foligno)	FolignoItalian_YELLOW_-1	YELLOW	-2	ɟˈalːu		
Italian (Grosseto)	GrossetoItalian_YELLOW_-1	YELLOW	-2	ʤalːo		
Italian (Standard)	StandardItalian_YELLOW_-1	YELLOW	-2	ʤalːo		Borrowed from Old French {jalne} 'yellow'.
Ladin (Fassano)	FassanoLadin_YELLOW_-1	YELLOW	-2	zal		Borrowed from some Romance source, not derived from Latin {galbinus} (cf. normal phonetic development in the word ǯˈam-a {giama} 'leg' < Vulgar Latin {gamba}).
Ladin (Gardenese)	GardeneseLadin_YELLOW_-1	YELLOW	-2	ɡjəl		Borrowed from German {gelb}, not derived from Latin {galbinus} (cf. normal phonetic development in the word ǯˈam-a {giama} 'leg' < Vulgar Latin {gamba}).
Ligurian (Genoese)	GenoeseLigurian_YELLOW_-1	YELLOW	-2	ʤˈanu		Borrowed from Old French {jalne} 'yellow'.
Ligurian (Rapallo)	RapalloLigurian_YELLOW_-1	YELLOW	-2	ʤˈalːu		Borrowed from Old French {jalne} 'yellow' via Italian {giallo} 'yellow'.
Ligurian (Stella)	StellaLigurian_YELLOW_-1	YELLOW	-2	ʤˈaːnu		Borrowed from Old French {jalne} 'yellow'.
Lombard (Bergamo)	BergamoLombard_YELLOW_-1	YELLOW	-2	zalt		Borrowed from Old French {jalne} 'yellow'.
Lombard (Plesio)	PlesioLombard_YELLOW_-1	YELLOW	-2	ʤaːlt		Borrowed from Old French {jalne} 'yellow'.
Neapolitan	Neapolitan_YELLOW_-1	YELLOW	-2	ʤˈalːə		Borrowed from Old French {jalne} 'yellow'.
Neapolitan	Neapolitan_YELLOW_-1	YELLOW	-2	ʤːˈalːə		Borrowed from Old French {jalne} 'yellow'.
Occitan	ProvençalOccitan_YELLOW_-1	YELLOW	-2	ʤˈawne		Borrowed from Old French {jalne} 'yellow'.
Old Italian	OldItalian_YELLOW_-1	YELLOW	-2	ʤalːo		"some examples: {L'una era d'oro e l'altra era d'argento; // pria con la bianca e poscia con la gialla} ""One was of gold, and the other was of silver; // first with the white, and after with the yellow"" [Purg. 9]; {L'uno al pubblico segno i gigli gialli // oppone} ""To the public standard one the yellow lilies // opposes"" [Par. 6]."
Piemontese (Barbania)	BarbaniaPiemontese_YELLOW_-1	YELLOW	-2	ʤawŋ		Borrowed from Old French {jalne}.
Piemontese (Carmagnola)	CarmagnolaPiemontese_YELLOW_-1	YELLOW	-2	ʤawŋ		Borrowed from Old French {jalne}.
Piemontese (Lanzo Torinese)	LanzoTorinesePiemontese_YELLOW_-1	YELLOW	-2	ʤawŋ		Borrowed from Old French {jalne}.
Piemontese (Turinese)	TurinesePiemontese_YELLOW_-1	YELLOW	-2	ʤawŋ		Borrowed from Old French {jalne}.
Piemontese (Vercellese)	VercellesePiemontese_YELLOW_-1	YELLOW	-2	ʤalt		Borrowed from Old French {jalne}.
Romagnol	RavennateRomagnol_YELLOW_-1	YELLOW	-2	ʒal		Borrowed from Old French {jalne}.
Romansh (Vallader)	ValladerRomansh_YELLOW_-1	YELLOW	-6	ɡɛlk		Borrowed from German {gelb} 'yellow'.
Sardinian (Campidanese)	Campidanese_YELLOW_-1	YELLOW	-4	ɡrˈoɣu		Borrowed from Catalan {groc} 'yellow'. Domus de Maria: ǯˈalː-u {giallu} 'yellow' of Italian origin [Fadda 2015].
Sardinian (Logudorese)	Logudorese_YELLOW_-1	YELLOW	-4	ɡrˈoɡu		Borrowed from Catalan {groc} 'yellow'.
Sicilian (Catanian)	CatanianSicilian_YELLOW_-1	YELLOW	-2	ʤˈalːu		Borrowed from Italian {giallo} 'yellow'.
